study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
2,EXT2G,LTM2,620.0,1
2,EXT2G,LTM2,730.0,1
2,EXT2G,extinction1,0.0,1
2,EXT2G,extinction1,1635.0,1
2,EXT2G,extinction1,1720.0,1
2,EXT2G,extinction1,1835.0,1
2,EXT2G,extinction1,1990.0,1
2,EXT2G,extinction1,2500.0,1
2,EXT2G,extinction1,2530.0,1
2,EXT2G,extinction1,2715.0,1
2,EXT2G,extinction1,2785.0,1
2,EXT2G,extinction1,2890.0,1
2,EXT2G,extinction1,2990.0,1
2,EXT2G,extinction1,3105.0,1
2,EXT2G,extinction1,3225.0,1
2,EXT2G,extinction1,3340.0,1
2,EXT2G,extinction3,0.0,1
2,EXT2G,extinction3,190.0,1
2,EXT2G,extinction3,350.0,1
2,EXT2G,extinction3,610.0,1
2,EXT2G,extinction3,715.0,1
2,EXT2G,extinction3,835.0,1
2,EXT2G,extinction3,855.0,1
2,EXT2G,extinction3,975.0,1
2,EXT2G,extinction3,1080.0,1
2,EXT2G,extinction3,1110.0,1
2,EXT2G,extinction3,1200.0,1
2,EXT2G,extinction3,1320.0,1
2,EXT2G,extinction3,1355.0,1
2,EXT2G,extinction3,1395.0,1
2,EXT2G,extinction3,1500.0,1
2,EXT2G,extinction3,1685.0,1
2,EXT2G,extinction3,1740.0,1
2,EXT2G,extinction3,1760.0,1
2,EXT2G,extinction3,1855.0,1
2,EXT2G,extinction3,1975.0,1
2,EXT2G,extinction4,0.0,1
2,EXT2G,extinction4,100.0,1
2,EXT2G,extinction4,215.0,1
2,EXT2G,extinction4,330.0,1
2,EXT2G,extinction4,355.0,1
2,EXT2G,extinction4,455.0,1
2,EXT2G,extinction4,565.0,1
2,EXT2G,extinction4,685.0,1
2,EXT2G,extinction4,700.0,1
2,EXT2G,extinction4,715.0,1
2,EXT2G,extinction4,825.0,1
2,EXT2G,extinction4,835.0,1
2,EXT2G,extinction4,905.0,1
2,EXT2G,extinction4,950.0,2
2,EXT2G,extinction4,965.0,1
2,EXT2G,extinction4,1070.0,1
2,EXT2G,extinction4,1165.0,1
2,EXT2G,extinction4,1175.0,1
2,EXT2G,extinction4,1240.0,1
2,EXT2G,extinction4,1345.0,1
2,EXT2G,extinction4,1410.0,1
2,EXT2G,extinction4,1460.0,1
2,EXT2G,extinction4,1535.0,1
2,EXT2G,extinction4,1550.0,1
2,EXT2G,extinction4,1635.0,1
2,EXT2G,extinction4,1710.0,1
2,EXT2G,extinction4,1810.0,1
2,EXT2G,extinction4,1915.0,1
2,EXT2G,extinction4,1940.0,1
2,EXT2G,lever_training,0.0,2
2,EXT2G,lever_training,5.0,1
2,EXT2G,lever_training,85.0,1
2,EXT2G,lever_training,185.0,1
2,EXT2G,lever_training,200.0,1
2,EXT2G,lever_training,220.0,1
2,EXT2G,lever_training,250.0,1
2,EXT2G,lever_training,295.0,1
2,EXT2G,lever_training,305.0,1
2,EXT2G,lever_training,350.0,1
2,EXT2G,lever_training,430.0,1
2,EXT2G,lever_training,455.0,1
2,EXT2G,lever_training,525.0,1
2,EXT2G,lever_training,535.0,1
2,EXT2G,lever_training,640.0,1
2,EXT2G,lever_training,655.0,1
2,EXT2G,lever_training,680.0,1
2,EXT2G,lever_training,690.0,1
2,EXT2G,lever_training,775.0,1
2,EXT2G,lever_training,885.0,1
2,EXT2G,lever_training,985.0,1
2,EXT2G,lever_training,1090.0,1
2,EXT2G,lever_training,1185.0,1
2,EXT2G,lever_training,1200.0,1
2,EXT2G,lever_training,1295.0,1
2,EXT2G,lever_training,1305.0,1
2,EXT2G,lever_training,1315.0,1
2,EXT2G,lever_training,1395.0,1
2,EXT2G,lever_training,1420.0,1
2,EXT2G,lever_training,1475.0,1
2,EXT2G,lever_training,1525.0,2
2,EXT2G,lever_training,1545.0,1
2,EXT2G,lever_training,1585.0,1
2,EXT2G,lever_training,1650.0,1
2,EXT2G,lever_training,1685.0,1
2,EXT2G,lever_training,1710.0,1
2,EXT2G,lever_training,1770.0,1
2,EXT2G,lever_training,1780.0,1
2,EXT2G,lever_training,1865.0,1
2,EXT2G,lever_training,1875.0,1
2,EXT2G,lever_training,1975.0,2
2,EXT2G,lever_training,2075.0,1
2,EXT2G,lever_training,2085.0,1
2,EXT2G,lever_training,2115.0,1
2,EXT2G,lever_training,2200.0,1
2,EXT2G,lever_training,2220.0,1
2,EXT2G,lever_training,2230.0,1
2,EXT2G,lever_training,2330.0,1
2,EXT2G,lever_training,2335.0,1
2,EXT2G,lever_training,2350.0,1
2,EXT2G,lever_training,2370.0,1
2,EXT2G,lever_training,2395.0,1
2,EXT2G,renewal,0.0,1
2,EXT2G,renewal,75.0,1
2,EXT2G,renewal,185.0,1
2,EXT2G,renewal,240.0,1
2,EXT2G,retrieval,0.0,1
