study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1R,generalization_7k,240.0,2,0
1a,XIN1R,generalization_7k,245.0,2,0
1a,XIN1R,generalization_7k,250.0,2,0
1a,XIN1R,generalization_7k,255.0,3,0
1a,XIN1R,generalization_7k,260.0,1,0
1a,XIN1R,generalization_7k,265.0,2,0
1a,XIN1R,generalization_7k,270.0,1,0
1a,XIN1R,generalization_7k,285.0,1,0
1a,XIN1R,generalization_7k,290.0,3,0
1a,XIN1R,generalization_7k,295.0,3,0
1a,XIN1R,generalization_7k,300.0,1,0
1a,XIN1R,generalization_7k,305.0,3,0
1a,XIN1R,generalization_7k,310.0,2,0
1a,XIN1R,generalization_7k,320.0,1,0
1a,XIN1R,generalization_7k,325.0,3,0
1a,XIN1R,generalization_7k,330.0,2,0
1a,XIN1R,generalization_7k,340.0,2,0
1a,XIN1R,generalization_7k,345.0,3,0
1a,XIN1R,generalization_7k,350.0,3,0
1a,XIN1R,generalization_7k,355.0,2,0
1a,XIN1R,generalization_7k,370.0,4,0
1a,XIN1R,generalization_7k,375.0,9,0
1a,XIN1R,generalization_7k,380.0,5,0
1a,XIN1R,generalization_7k,385.0,2,0
1a,XIN1R,generalization_7k,390.0,5,0
1a,XIN1R,generalization_7k,395.0,5,0
1a,XIN1R,generalization_7k,400.0,6,0
1a,XIN1R,generalization_7k,405.0,2,0
1a,XIN1R,generalization_7k,410.0,3,0
1a,XIN1R,generalization_7k,415.0,1,0
1a,XIN1R,generalization_7k,420.0,2,0
1a,XIN1R,generalization_7k,425.0,5,0
1a,XIN1R,generalization_7k,430.0,4,0
1a,XIN1R,generalization_7k,435.0,5,0
1a,XIN1R,generalization_7k,445.0,1,0
1a,XIN1R,generalization_7k,455.0,3,0
1a,XIN1R,generalization_7k,460.0,1,0
1a,XIN1R,generalization_7k,465.0,2,0
1a,XIN1R,generalization_7k,470.0,1,0
1a,XIN1R,generalization_7k,475.0,4,0
1a,XIN1R,generalization_7k,480.0,6,0
1a,XIN1R,generalization_7k,485.0,5,0
1a,XIN1R,generalization_7k,490.0,6,0
1a,XIN1R,generalization_7k,495.0,1,0
1a,XIN1R,generalization_7k,500.0,1,0
1a,XIN1R,generalization_7k,505.0,4,0
1a,XIN1R,generalization_7k,510.0,3,0
1a,XIN1R,generalization_7k,515.0,2,0
1a,XIN1R,generalization_7k,520.0,4,0
1a,XIN1R,generalization_7k,535.0,1,0
1a,XIN1R,learning,0.0,0,8
1a,XIN1R,learning,5.0,0,2
1a,XIN1R,learning,10.0,0,6
1a,XIN1R,learning,15.0,0,2
1a,XIN1R,learning,25.0,0,3
1a,XIN1R,learning,30.0,0,5
1a,XIN1R,learning,35.0,0,8
1a,XIN1R,learning,40.0,0,1
1a,XIN1R,learning,45.0,0,1
