session_name,decile,state_label,mean_occupancy,sem_occupancy,n_subjects,spearman_rho,spearman_pval
extinction2,1,Goal-Directed,0.0125,0.004345959346031972,14,0.16363636363636364,0.6514773427962428
extinction2,1,Quiescent,0.8339285714285715,0.06182921037735296,14,0.32826899358723494,0.35441832701832515
extinction2,1,Social/Appetitive,0.05357142857142857,0.038592790177559955,14,0.32218993815043423,0.3639270759675106
extinction2,2,Fear/Distress,0.031135531135531136,0.014766039832048628,14,-0.5896923870743754,0.07277136120108077
extinction2,2,Goal-Directed,0.01098901098901099,0.004428355493238014,14,0.16363636363636364,0.6514773427962428
extinction2,2,Quiescent,0.9047619047619048,0.02707041110053638,14,0.32826899358723494,0.35441832701832515
extinction2,2,Social/Appetitive,0.05311355311355311,0.025565440258025356,14,0.32218993815043423,0.3639270759675106
extinction2,3,Fear/Distress,0.0035714285714285718,0.0035714285714285726,14,-0.5896923870743754,0.07277136120108077
extinction2,3,Goal-Directed,0.019642857142857146,0.0065142339018568005,14,0.16363636363636364,0.6514773427962428
extinction2,3,Quiescent,0.9232142857142858,0.01986636081404243,14,0.32826899358723494,0.35441832701832515
extinction2,3,Social/Appetitive,0.05357142857142857,0.018318223162823798,14,0.32218993815043423,0.3639270759675106
extinction2,4,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,4,Goal-Directed,0.029304029304029304,0.010005793690935308,14,0.16363636363636364,0.6514773427962428
extinction2,4,Quiescent,0.9065934065934066,0.04288940175457232,14,0.32826899358723494,0.35441832701832515
extinction2,4,Social/Appetitive,0.06410256410256411,0.041705933336631494,14,0.32218993815043423,0.3639270759675106
extinction2,5,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,5,Goal-Directed,0.03035714285714286,0.01021021205172974,14,0.16363636363636364,0.6514773427962428
extinction2,5,Quiescent,0.9053571428571429,0.055481073611118835,14,0.32826899358723494,0.35441832701832515
extinction2,5,Social/Appetitive,0.0642857142857143,0.05495466948847138,14,0.32218993815043423,0.3639270759675106
extinction2,6,Fear/Distress,0.012499999999999999,0.012499999999999997,14,-0.5896923870743754,0.07277136120108077
extinction2,6,Goal-Directed,0.02142857142857143,0.006342525483854503,14,0.16363636363636364,0.6514773427962428
extinction2,6,Quiescent,0.8857142857142858,0.05679841243055199,14,0.32826899358723494,0.35441832701832515
extinction2,6,Social/Appetitive,0.08035714285714286,0.05796328955154109,14,0.32218993815043423,0.3639270759675106
extinction2,7,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,7,Goal-Directed,0.031135531135531136,0.009380216681722911,14,0.16363636363636364,0.6514773427962428
extinction2,7,Quiescent,0.9010989010989011,0.04568317210689834,14,0.32826899358723494,0.35441832701832515
extinction2,7,Social/Appetitive,0.06776556776556776,0.047142532023067736,14,0.32218993815043423,0.3639270759675106
extinction2,8,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,8,Goal-Directed,0.026785714285714284,0.008062379445510543,14,0.16363636363636364,0.6514773427962428
extinction2,8,Quiescent,0.9,0.049724515809884684,14,0.32826899358723494,0.35441832701832515
extinction2,8,Social/Appetitive,0.0732142857142857,0.05010046813532121,14,0.32218993815043423,0.3639270759675106
extinction2,9,Fear/Distress,0.0018315018315018315,0.001831501831501832,14,-0.5896923870743754,0.07277136120108077
extinction2,9,Goal-Directed,0.02564102564102564,0.00969139674382634,14,0.16363636363636364,0.6514773427962428
extinction2,9,Quiescent,0.9065934065934066,0.03060054527099083,14,0.32826899358723494,0.35441832701832515
extinction2,9,Social/Appetitive,0.06593406593406594,0.03222290323809272,14,0.32218993815043423,0.3639270759675106
extinction3,0,Fear/Distress,0.011764705882352941,0.01176470588235294,17,-0.7191012094028307,0.019088229989839226
extinction3,0,Goal-Directed,0.048529411764705876,0.0069367508323945615,17,-0.13939393939393938,0.7009318849100584
extinction3,0,Quiescent,0.7044117647058823,0.05243322495884432,17,0.6363636363636362,0.04791172612997544
extinction3,0,Social/Appetitive,0.23529411764705882,0.05167501420827677,17,-0.34545454545454546,0.3282265114713672
extinction3,1,Fear/Distress,0.075,0.04095594835774595,17,-0.7191012094028307,0.019088229989839226
extinction3,1,Goal-Directed,0.02058823529411765,0.0053530219774121455,17,-0.13939393939393938,0.7009318849100584
extinction3,1,Quiescent,0.8426470588235294,0.04690634764961976,17,0.6363636363636362,0.04791172612997544
extinction3,1,Social/Appetitive,0.061764705882352944,0.0297135255164364,17,-0.34545454545454546,0.3282265114713672
extinction3,2,Fear/Distress,0.04524886877828054,0.031057707815948715,17,-0.7191012094028307,0.019088229989839226
extinction3,2,Goal-Directed,0.027149321266968323,0.006399156390828485,17,-0.13939393939393938,0.7009318849100584
extinction3,2,Quiescent,0.8929110105580693,0.03218188279540251,17,0.6363636363636362,0.04791172612997544
extinction3,2,Social/Appetitive,0.03469079939668175,0.01389556996431997,17,-0.34545454545454546,0.3282265114713672
