subject_id,session_name,study,session_type,n_bins,n_fear_bins,n_goal_bins,n_other_bins,n_fg_transitions,conflict_episodes,alternation_rate,transition_rate,fg_transition_rate
EXT1R,learning,2,both_threat_reward,228,35,21,172,0,0,0.0,0.3039647577092511,0.0
EXT1R,renewal,2,both_threat_reward,108,0,13,95,0,0,0.0,0.09345794392523364,0.0
EXT1R,retrieval,2,threat_dominant,72,0,1,71,0,0,0.0,0.014084507042253521,0.0
EXT2B,LTM2,2,both_threat_reward,144,0,1,143,0,0,0.0,0.006993006993006993,0.0
EXT2B,extinction1,2,threat_dominant,684,5,1,678,0,0,0.0,0.016105417276720352,0.0
EXT2B,extinction2,2,other,396,20,4,372,0,0,0.0,0.05822784810126582,0.0
EXT2B,extinction3,2,other,396,0,1,395,0,0,0.0,0.002531645569620253,0.0
EXT2B,extinction4,2,other,396,4,1,391,0,0,0.0,0.02278481012658228,0.0
EXT2B,learning,2,both_threat_reward,228,67,8,153,1,0,0.0,0.0881057268722467,0.004405286343612335
EXT2B,renewal,2,both_threat_reward,144,35,6,103,0,0,0.0,0.1888111888111888,0.0
EXT2B,retrieval,2,threat_dominant,72,0,3,69,0,0,0.0,0.07042253521126761,0.0
EXT2G,LTM2,2,both_threat_reward,144,0,7,137,0,0,0.0,0.09090909090909091,0.0
EXT2G,extinction1,2,threat_dominant,684,5,17,662,0,0,0.0,0.05417276720351391,0.0
EXT2G,extinction3,2,other,396,0,27,369,0,0,0.0,0.11139240506329114,0.0
EXT2G,extinction4,2,other,396,5,29,362,0,0,0.0,0.16962025316455695,0.0
EXT2G,learning,2,both_threat_reward,228,42,25,161,3,1,0.0043859649122807015,0.1894273127753304,0.013215859030837005
EXT2G,renewal,2,both_threat_reward,144,14,16,114,0,0,0.0,0.26573426573426573,0.0
EXT2G,retrieval,2,threat_dominant,72,0,4,68,0,0,0.0,0.09859154929577464,0.0
EXT2R,LTM2,2,both_threat_reward,144,0,21,123,0,0,0.0,0.1958041958041958,0.0
EXT2R,extinction1,2,threat_dominant,684,136,6,542,0,0,0.0,0.0951683748169839,0.0
EXT2R,extinction3,2,other,396,4,28,364,0,0,0.0,0.1291139240506329,0.0
EXT2R,extinction4,2,other,396,0,28,368,0,0,0.0,0.1240506329113924,0.0
EXT2R,learning,2,both_threat_reward,228,42,69,117,18,0,0.0,0.30837004405286345,0.07929515418502203
EXT2R,renewal,2,both_threat_reward,144,0,20,124,0,0,0.0,0.06993006993006994,0.0
EXT2R,retrieval,2,threat_dominant,72,0,3,69,0,0,0.0,0.07042253521126761,0.0
EXT3B,LTM2,2,both_threat_reward,144,0,24,120,0,0,0.0,0.16083916083916083,0.0
EXT3B,extinction1,2,threat_dominant,684,0,33,651,0,0,0.0,0.07613469985358712,0.0
EXT3B,extinction2,2,other,396,0,78,318,0,0,0.0,0.189873417721519,0.0
EXT3B,extinction3,2,other,396,7,58,331,1,0,0.0,0.19240506329113924,0.002531645569620253
EXT3B,extinction4,2,other,396,2,46,348,1,1,0.0025252525252525255,0.17721518987341772,0.002531645569620253
EXT3B,learning,2,both_threat_reward,228,35,53,140,2,0,0.0,0.32158590308370044,0.00881057268722467
