study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1b,XIN2B,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin2Bcontext2 2024-09-23  7_48 PM_Stats.xlsx,0,18.0
1b,XIN2B,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin2Bcue2s 2024-09-23  9_32 PM_Stats.xlsx,0,51.0
1b,XIN2G,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin2Gcontext 2024-04-29  9_04 PM_Stats.xlsx,0,2.0
1b,XIN2G,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin2Gcue 2024-04-30 10_41 AM_Stats.xlsx,0,2.0
1b,XIN2G,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin2Gcontex2 2024-09-23  7_52 PM_Stats.xlsx,0,7.0
1b,XIN2G,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin2Gcue2 2024-09-23  8_15 PM_Stats.xlsx,0,22.0
1b,XIN2R,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin2Rcontext 2024-04-29  8_46 PM_Stats.xlsx,0,135.0
1b,XIN2R,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin2Rcue 2024-04-30 10_27 AM_Stats.xlsx,0,106.0
1b,XIN2R,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin2Rcontext2 2024-09-23  7_58 PM_Stats.xlsx,0,173.0
1b,XIN2R,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin2Rcue2s 2024-09-23  9_02 PM_Stats.xlsx,0,487.0
1b,XIN3B,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin3Bcontext 2024-04-30  2_08 PM_Stats.xlsx,0,13.0
1b,XIN3B,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin3Bcue 2024-04-30 11_05 AM_Stats.xlsx,0,11.0
1b,XIN3B,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin3Bcontex2 2024-09-23  8_20 PM_Stats.xlsx,0,89.0
1b,XIN3B,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Bcue2 2024-09-23  8_28 PM_Stats.xlsx,0,10.0
1b,XIN3G,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin3Gcontext 2024-04-30  2_08 PM_Stats.xlsx,0,78.0
1b,XIN3G,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin3Gcue 2024-04-30 10_57 AM_Stats.xlsx,0,50.0
1b,XIN3G,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin3Gcontext2 2024-09-23  8_32 PM_Stats.xlsx,0,247.0
1b,XIN3G,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Gcue2s 2024-09-23  9_38 PM_Stats.xlsx,0,225.0
1b,XIN3R,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin3Rcontext 2024-04-29  9_27 PM_Stats.xlsx,0,111.0
1b,XIN3R,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin3Rcue 2024-04-30 10_49 AM_Stats.xlsx,0,12.0
1b,XIN3R,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin3Rcontex2 2024-09-23  8_48 PM_Stats.xlsx,0,199.0
1b,XIN3R,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Rcue2 2024-09-23  8_24 PM_Stats.xlsx,0,10.0
1b,XIN4B,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin4Bcontext 2024-04-29  9_59 PM_Stats.xlsx,0,17.0
1b,XIN4B,pretest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin4Bcue 2024-04-26  1_49 PM_Stats.xlsx,0,80.0
1b,XIN4B,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin4Bcue 2024-04-30 11_25 AM_Stats.xlsx,0,11.0
1b,XIN4B,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin4Bcontex2 2024-09-23  8_59 PM_Stats.xlsx,0,96.0
1b,XIN4B,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Bscue2 2024-09-23  8_38 PM_Stats.xlsx,0,11.0
1b,XIN4G,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin4Gcontext 2024-04-29  9_48 PM_Stats.xlsx,0,68.0
1b,XIN4G,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin4Gcue 2024-04-30 11_16 AM_Stats.xlsx,0,13.0
