study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
1b,XIN3G,retest_contextual,0.0,220.0,True,True,True,False,control,A
1b,XIN3G,retest_cue,0.0,555.0,True,True,True,False,control,B
1b,XIN3G,retest_lever_baseline,0.0,3600.0,False,True,False,False,control,B
1b,XIN3R,contextual_test,0.0,175.0,False,False,True,False,control,A
1b,XIN3R,cue_test,0.0,535.0,False,False,True,False,control,B
1b,XIN3R,pretest_contextual,0.0,200.0,True,True,False,False,control,A
1b,XIN3R,pretest_cue,0.0,560.0,True,True,False,False,control,B
1b,XIN3R,retest_contextual,0.0,205.0,True,True,True,False,control,A
1b,XIN3R,retest_cue,0.0,560.0,True,True,True,False,control,B
1b,XIN3R,retest_lever_baseline,0.0,3600.0,False,True,False,False,control,B
1b,XIN4B,contextual_test,0.0,175.0,False,False,True,False,shock,A
1b,XIN4B,cue_test,0.0,535.0,False,False,True,False,shock,B
1b,XIN4B,pretest_contextual,0.0,200.0,True,True,False,False,shock,A
1b,XIN4B,pretest_cue,0.0,560.0,True,True,False,False,shock,B
1b,XIN4B,retest_contextual,0.0,205.0,True,True,True,False,shock,A
1b,XIN4B,retest_cue,0.0,560.0,True,True,True,False,shock,B
1b,XIN4B,retest_lever_baseline,0.0,3600.0,False,True,False,False,shock,B
1b,XIN4G,contextual_test,0.0,175.0,False,False,True,False,shock,A
1b,XIN4G,cue_test,0.0,535.0,False,False,True,False,shock,B
1b,XIN4G,pretest_contextual,0.0,200.0,True,True,False,False,shock,A
1b,XIN4G,pretest_cue,0.0,560.0,True,True,False,False,shock,B
1b,XIN4G,retest_contextual,0.0,205.0,True,True,True,False,shock,A
1b,XIN4G,retest_cue,0.0,560.0,True,True,True,False,shock,B
1b,XIN4G,retest_lever_baseline,0.0,3600.0,False,True,False,False,shock,B
1b,XIN4R,contextual_test,0.0,175.0,False,False,True,False,shock,A
1b,XIN4R,cue_test,0.0,535.0,False,False,True,False,shock,B
1b,XIN4R,pretest_contextual,0.0,200.0,True,True,False,False,shock,A
1b,XIN4R,pretest_cue,0.0,560.0,True,True,False,False,shock,B
1b,XIN4R,retest_contextual,0.0,200.0,True,True,True,False,shock,A
1b,XIN4R,retest_cue,0.0,565.0,True,True,True,False,shock,B
1b,XIN4R,retest_lever_baseline,0.0,3600.0,False,True,False,False,shock,B
2,EXT1B,LTM1,0.0,535.0,True,False,True,True,extinction,B_or_operant
2,EXT1B,LTM2,0.0,920.0,True,True,True,True,extinction,B_or_operant
2,EXT1B,extinction1,0.0,1990.0,True,True,True,True,extinction,B_or_operant
2,EXT1B,extinction2,0.0,1990.0,True,True,True,True,extinction,B_or_operant
2,EXT1B,extinction3,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT1B,extinction4,0.0,1990.0,True,True,True,True,extinction,B_or_operant
2,EXT1B,learning,0.0,1155.0,True,True,True,True,extinction,A
2,EXT1B,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
2,EXT1B,renewal,0.0,550.0,True,True,True,True,extinction,A
2,EXT1B,retrieval,0.0,395.0,True,True,True,True,extinction,B_or_operant
2,EXT1G,LTM1,0.0,535.0,True,False,True,True,extinction,B_or_operant
2,EXT1G,LTM2,0.0,925.0,True,True,True,True,extinction,B_or_operant
2,EXT1G,extinction1,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT1G,extinction2,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT1G,extinction3,0.0,2020.0,True,True,True,True,extinction,B_or_operant
2,EXT1G,extinction4,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT1G,learning,0.0,1145.0,True,True,True,True,extinction,A
2,EXT1G,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
2,EXT1G,renewal,0.0,550.0,True,True,True,True,extinction,A
2,EXT1G,retrieval,0.0,380.0,True,True,True,True,extinction,B_or_operant
2,EXT1R,LTM1,0.0,535.0,False,False,True,True,extinction,B_or_operant
2,EXT1R,LTM2,0.0,925.0,True,True,True,True,extinction,B_or_operant
2,EXT1R,extinction1,0.0,1995.0,False,True,True,True,extinction,B_or_operant
2,EXT1R,extinction2,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT1R,extinction3,0.0,2020.0,True,True,True,True,extinction,B_or_operant
2,EXT1R,extinction4,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT1R,learning,0.0,1135.0,True,True,True,True,extinction,A
2,EXT1R,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
